SN|Res|FS|Wage|IntInc|Div|AliR|SSInc|RRInc|SchCInc|CapGains|QualDiv|TotInc|STCode|Tax|STFS|TUNO|NTUF|
743431003|4|3|715403.31|-122066.80|-120640.63|718757.50|-883854.55|-264387.85|036184.62|085627.38|-657362.20|-642810.36|55|228634.66|1|7|1|
668320106|8|1|720384.66|-550545.37|136208.64|-365848.61|-654835.03|-521784.61|756163.80|-666524.80|516062.14|-877678.57|82|-184373.26|7|1|0|
482557871|8|7|-373613.64|-728088.78|800815.41|-375735.12|-584801.31|031554.62|276750.28|-007654.72|-444455.38|640838.28|02|-732148.18|8|0|4|
177322060|4|7|-682077.13|181011.10|-843476.71|661680.88|-064045.11|332078.33|-104747.25|574060.05|-611654.24|-570472.38|68|-801846.41|2|6|4|
708408108|1|0|-600648.77|-727070.00|725556.03|-180030.61|576831.72|078257.71|163807.68|-813743.14|346783.51|-052503.32|02|118546.73|5|0|2|
631774656|3|2|-057327.62|346828.85|-518467.04|465753.05|526516.82|705784.07|-223326.31|276320.05|217282.21|836750.52|48|841083.65|6|5|5|
484755137|8|1|-170235.55|-485113.64|-353332.38|-671665.07|-271285.26|720425.08|-550626.02|-011811.18|037080.87|-185600.64|41|-356320.76|6|8|4|
533506345|6|5|-778732.22|104213.28|-477017.67|451237.83|227431.17|115841.75|-222050.80|133852.82|-262527.03|-172360.74|05|877082.33|2|1|1|
384425537|6|0|680337.61|-334012.88|585430.15|-628456.37|051403.16|082107.37|620758.40|-170060.28|826035.40|774771.25|43|-153550.22|5|7|3|
025457075|0|0|-324673.83|863554.87|240022.48|-521440.53|630275.43|214014.22|348436.63|-030283.06|-268566.45|587850.56|51|-881711.50|0|6|0|
366358574|7|8|155168.80|822766.43|620741.11|-428018.24|840340.41|617701.85|-231566.08|532783.26|671347.68|472874.40|01|-641336.71|3|4|6|
124278814|1|7|-876666.03|243503.42|-305017.25|-520585.84|-063211.62|563722.11|507008.23|-041051.51|-406401.54|-603137.48|57|-773678.81|6|0|8|
466488580|2|0|-682531.45|-225686.24|-457045.50|070774.88|-077452.64|-346354.53|815788.24|-676210.01|-257701.20|-650545.83|23|057267.71|7|4|6|
828211517|6|0|704621.72|881342.66|314814.72|331067.72|588320.65|767023.50|-855721.11|-837225.76|-802832.30|013240.17|75|303457.35|4|3|7|
520448266|1|6|-186145.50|316387.48|423682.16|560434.51|-712473.66|265805.77|-784783.10|360165.41|-701163.04|818854.15|71|748616.06|1|3|4|
145650558|5|4|-808188.52|186107.17|-510633.10|-140837.07|414882.02|-837604.00|584832.48|301003.14|-517041.40|832753.30|83|306701.70|6|0|7|
425712532|3|0|138117.18|-674210.45|374532.17|866651.41|543130.70|-701671.16|-407322.32|838261.81|360073.41|-370128.51|64|260212.26|5|7|5|
035471007|3|0|727801.46|023843.40|107523.38|-774154.88|744017.38|-730767.60|773372.05|-484862.60|231811.14|416368.73|45|024056.40|4|3|0|
756875102|6|1|547738.01|011353.37|440561.35|188376.53|266855.80|-180161.06|-614000.72|-056310.83|-883640.85|533303.27|55|-844226.74|0|4|7|
070755882|6|0|051314.53|-502046.07|-752671.15|060225.88|-730528.52|462251.44|-633753.82|-800354.47|-200853.50|403050.65|85|-420047.46|2|3|5|
482264346|8|7|331628.37|433217.81|-834363.70|203576.06|203654.22|338072.27|123532.37|066542.06|612276.30|-521757.71|84|167075.47|5|8|8|
887834078|2|7|307463.10|224600.23|127850.20|-175232.13|-230340.30|088813.36|817167.08|-577833.17|536105.54|-053363.57|38|548135.43|8|5|6|
684606205|3|7|812085.75|548755.16|-686312.18|882286.44|-343732.50|-063282.21|238158.00|841515.54|284665.46|747242.48|54|205758.27|0|4|0|
855141015|1|5|-452227.78|-358004.44|-243643.05|-308278.62|-752847.22|357731.12|-253301.65|427486.16|804510.14|-011554.63|64|-154378.22|4|6|5|
522574017|5|4|-351326.63|-481352.02|-701706.02|-018520.53|-843478.74|822658.73|-178452.46|-243135.76|-604644.14|-830205.05|37|055605.42|2|7|4|
170310782|3|7|545052.84|114158.17|-132335.61|814267.44|-131225.46|173533.20|610365.37|533100.70|065553.20|152500.37|44|320347.76|8|4|8|
486111040|8|1|-180780.36|581415.84|-872077.38|-603820.76|-844511.80|-877510.73|-681660.15|644684.73|652018.08|768746.81|77|-311680.46|4|6|5|
224622257|2|6|-432452.10|-172637.82|166588.42|-028882.44|548304.70|-164810.31|-644660.75|002315.16|-443123.43|-480217.84|03|463524.88|2|5|6|
515728707|0|8|-518357.37|374612.88|-443388.01|352152.41|-826110.82|024386.62|-065633.23|-232844.36|785280.53|570455.06|14|-311110.51|8|3|6|
384652583|5|3|-475731.38|-053352.20|-532802.76|768085.36|-022812.65|-303058.41|-702673.33|-633624.53|-843558.52|-816754.27|57|-608811.35|4|5|7|
152371871|6|8|661517.82|-672125.75|-587764.54|050081.37|-268171.43|-382488.36|-874221.72|114604.11|572507.38|353675.80|70|754588.71|1|1|4|
818155208|5|1|-044848.53|624340.48|308530.16|-404675.47|558638.86|-888262.68|670024.77|620150.34|020268.20|035602.37|36|832770.32|1|3|3|
727276076|6|2|586645.26|-333688.45|747187.06|414161.08|-500502.57|411724.82|-540145.16|-702007.77|-157374.66|-014524.37|23|500850.18|5|8|8|
245777823|5|3|608823.33|822482.71|-166125.60|428134.58|760812.10|244634.02|-114834.50|-774475.84|-734733.08|356372.18|16|-230674.41|2|8|8|
666238306|2|5|-547661.45|-111632.72|-772521.01|452827.55|-554683.06|-282318.73|308864.72|-407648.15|744432.14|-873731.61|83|416577.83|2|5|0|
267760710|8|0|528315.50|372518.14|-117641.65|-327243.76|-071561.38|-434268.87|382382.34|-415212.21|657736.86|061810.42|41|303755.51|4|7|4|
525245136|3|0|273424.63|465027.06|241558.68|854464.57|627573.80|-423501.55|841870.45|320458.86|-773207.41|301546.82|62|-572374.23|5|7|8|
175156640|6|8|528740.54|551843.45|583364.33|-588702.08|-843605.52|-726633.84|-153304.56|-400248.84|773563.72|-611854.82|78|-172547.15|4|7|7|
631686875|0|4|517110.32|-123447.31|845130.21|083850.36|433784.62|627727.18|335557.31|451353.71|534686.56|774320.77|78|-465016.42|0|7|0|
610568822|1|6|-541157.05|418332.22|440208.33|-015411.37|-756567.80|764786.44|-151741.50|070465.05|387251.71|-080180.13|57|403215.53|6|6|7|
772454188|6|0|663282.77|765433.60|-130504.43|525805.54|-870207.10|532361.52|-716168.80|125027.28|-346804.01|-648715.71|87|-734724.28|4|2|4|
753608057|8|8|245236.82|-737186.80|-687554.38|867608.27|807656.23|-866108.18|-022551.62|-661832.01|511122.38|-034167.64|64|-007324.61|5|7|4|
215624776|8|6|751025.12|-133721.41|602855.81|071517.78|447886.10|766560.23|-201568.58|-252103.42|081856.54|663746.30|68|-868148.65|8|5|0|
580281880|0|8|807030.68|-405344.72|157252.22|122852.05|355273.37|-578444.14|202478.02|724778.26|806266.82|522115.60|02|-630235.70|6|4|0|
743368764|4|8|270238.34|-603232.27|781778.84|-020225.38|445463.32|-828756.16|310664.18|502835.05|-652148.76|-550610.44|60|743121.08|8|0|7|
662358412|6|0|247405.12|-011265.28|-008282.71|316401.58|-504261.06|816253.28|-102581.13|530222.60|-384136.76|-234104.43|78|-538086.53|3|3|5|
142474408|3|3|573066.30|086526.54|283062.38|-355815.48|-014706.60|283418.66|525588.38|-675280.65|-075222.60|807828.03|60|882314.15|0|0|7|
031324158|5|2|810776.11|436580.77|621748.71|-657721.81|-041786.83|-156452.16|-670514.87|-063075.27|-467870.41|764532.58|51|-407858.81|0|8|1|
436166688|3|4|188006.03|505743.72|-402453.11|-813601.53|108624.32|653562.06|450564.06|867056.84|-474407.51|667746.25|87|245113.04|8|6|7|
254865535|6|7|-438045.24|258346.32|-638037.12|323182.87|-647057.45|801572.34|473262.52|554174.56|872700.67|-572510.58|63|565768.67|1|3|2|
480800874|5|6|-774365.46|-005665.28|386028.33|-007245.28|417881.75|860072.80|-040102.10|411813.17|-180260.51|703426.08|76|-415776.61|5|8|1|
631124812|0|0|857785.36|-156313.14|777433.01|-616562.02|-866503.48|272846.28|-884308.55|278116.53|-764866.82|028773.62|22|351103.55|6|3|2|
765308487|2|8|-862514.27|-561501.81|-566015.24|618765.75|306447.00|622681.72|-207461.10|-045845.00|472654.03|-876847.71|31|-868464.76|8|1|6|
465131675|7|1|-304183.65|-565228.40|210444.68|-827461.07|261037.14|-562107.80|480641.53|001080.32|353124.73|-175876.52|37|874863.46|6|2|3|
247038808|6|6|131165.70|811273.04|758027.00|-801686.55|300702.14|821513.77|-017546.20|660363.77|-818631.22|-121533.86|75|-185400.41|7|8|6|
275648286|6|8|870452.48|-330241.10|-807801.15|-878204.30|-435084.50|568504.26|-167584.75|848184.65|066444.47|862162.23|56|283120.15|4|0|0|
870211685|3|6|-861164.58|-310815.87|267160.03|-122612.84|237730.74|384516.00|265385.18|-448022.82|-033884.62|-132301.81|82|-338136.54|1|8|8|
267534452|7|7|-070402.66|-541140.57|133808.00|356281.41|-680357.07|-783408.34|511304.32|451133.05|-088454.30|643623.50|36|-035584.18|8|8|0|
685584357|4|4|-714344.77|255204.65|-320172.10|265031.34|181757.77|672382.68|443654.33|433866.56|-454304.43|-870823.13|65|114825.35|7|2|6|
886724226|8|6|-875655.81|075002.66|-574030.46|-321407.21|587715.53|-537787.72|707717.78|-725823.38|-671236.67|232181.23|41|-410780.75|8|2|7|
275660131|4|3|-722474.55|838413.57|782386.60|-851062.16|-127235.31|-735104.34|-186326.43|-310655.36|-402428.87|005005.71|82|-828250.25|5|8|1|
457845268|1|2|-804860.47|721332.52|807841.61|878312.67|383032.07|012281.24|536221.13|-776773.60|164405.86|470261.45|55|623243.31|7|8|8|
363582245|7|1|877740.67|-860235.30|205742.75|-327616.17|-265512.30|587358.80|433814.48|147843.63|-126014.86|-087644.25|18|286182.65|1|4|5|
183182328|3|4|204867.20|044103.77|-848540.53|623626.21|205877.13|-353075.81|-232252.62|-221817.02|-668082.65|257106.45|72|-526784.04|5|0|8|
418374214|2|8|788210.48|755056.81|167845.37|230352.60|106283.60|-870277.12|-158727.16|-445742.73|343428.32|164033.33|68|415408.86|6|8|6|
347330608|3|4|-380113.61|-588588.55|-701650.65|-657116.27|-310418.03|573262.72|-757051.28|-560556.74|507401.32|007018.43|83|-576446.61|6|5|6|
605108183|2|3|867730.80|166333.70|-804764.51|418222.20|016474.38|651733.65|-276722.73|-288385.66|-583582.62|087218.71|18|-465184.12|4|3|3|
322100610|3|4|184643.73|-414708.82|264057.26|621164.08|402557.16|651752.40|-018085.00|565751.10|331824.65|-622814.11|65|801326.38|7|0|5|
800686257|6|2|-174642.74|-850588.15|-582782.62|005281.23|532581.83|102734.21|-778202.64|-167465.27|-368350.87|738136.10|13|566268.14|7|8|2|
076627104|3|0|054431.00|-860722.07|-461730.47|865657.84|257666.50|188338.54|-758450.41|-717854.78|-785548.75|-123132.53|82|288877.53|2|0|2|
783474121|0|7|-452728.10|-626340.34|068573.63|-320733.30|388233.85|-376746.52|-233810.62|-222885.12|884682.45|-404871.27|13|237285.34|7|5|6|
161348120|2|2|722036.23|-181455.35|-686618.05|-031752.73|-007743.68|643564.23|636877.80|448455.64|176866.10|034608.27|53|-406516.44|0|8|4|
334701242|5|3|470066.84|-806142.30|156264.18|670631.13|515064.02|451554.26|-315351.38|-848022.18|768302.61|367014.20|70|848636.84|4|7|5|
534525284|6|5|-360875.35|637308.72|538570.11|020425.77|-744362.85|811603.06|-501427.70|342540.32|-361506.25|363361.51|83|843747.28|0|0|1|
427844166|0|6|-650040.48|-368116.33|223556.87|870346.46|780437.56|747437.87|342285.80|430517.72|128558.60|-886515.65|15|844426.68|8|0|7|
278338470|4|7|516370.40|-322727.34|243100.42|758801.76|833105.45|125482.16|-428141.88|384055.63|444567.50|-677657.72|53|-740178.74|8|5|2|
707424235|0|1|100258.11|-421383.44|606350.21|481107.71|136546.48|682830.23|-434863.21|-863315.50|-717601.06|646768.24|81|-142221.67|8|0|8|
527035103|3|0|622428.76|756447.11|-865302.26|-010344.66|-352111.73|-864548.86|526185.72|-843532.15|-366752.71|528850.32|65|651066.88|8|3|1|
356288206|2|4|-007343.73|-848168.45|-675586.35|242263.58|-262783.47|417558.77|743834.53|-548685.06|-866855.78|428623.03|60|-645510.30|1|1|0|
623033158|8|0|-413676.86|-135284.85|347540.80|512425.18|-562863.30|683325.44|728834.43|-412412.18|643514.06|357030.62|20|-713733.12|2|1|8|
425353705|1|3|-703857.01|-817020.02|466306.78|-501571.57|736606.61|156015.73|-685086.12|472542.33|541851.63|585632.47|05|782582.08|5|4|3|
747238681|4|5|770032.16|021070.45|-663666.72|246765.42|-133138.11|-786487.26|-087876.34|146183.68|-708461.58|-101124.76|36|038846.85|3|5|7|
081354722|7|1|764538.73|447470.10|-310710.21|-638136.77|575502.11|-768388.71|-138842.04|-835187.26|475023.14|-736115.21|50|484655.41|6|0|5|
486624682|2|7|-018665.53|521362.41|826874.72|212551.53|475060.37|548026.22|871256.60|-362234.68|466645.35|865536.47|45|-478565.53|5|2|4|
748253882|6|1|313672.33|657806.02|-753225.06|-532477.87|131011.67|042880.05|-166277.43|-143674.82|-813447.32|-552747.80|77|-147644.26|1|7|7|
641753055|2|1|155736.23|-363661.70|314107.87|-888228.42|-131150.30|-675575.72|-435827.20|571246.21|844801.14|-473576.40|47|-330887.33|5|1|6|
383464856|4|0|-705273.14|111303.07|-687301.11|253018.40|-818668.07|-434744.73|123872.61|737106.05|318075.37|-108475.48|32|330341.30|2|4|3|
182718631|8|4|474277.32|641275.37|-511561.43|362047.07|-038358.43|-032106.08|882230.03|152088.81|710220.67|586186.28|01|358818.37|7|6|2|
044772718|1|3|241338.00|-213431.41|168122.80|628353.02|-551106.21|016118.32|-162621.81|173181.86|-338713.73|-663600.04|64|873443.86|8|1|8|
228380010|5|0|-465473.78|-445707.01|536881.15|044601.03|211415.43|774672.08|054312.18|717252.36|-431283.43|-752524.52|81|465406.85|1|8|5|
102506053|8|2|-777131.53|528460.60|-685773.48|-287617.76|536038.36|468822.34|-462706.41|804441.06|-888843.34|157161.78|36|-884252.62|3|6|8|
130210302|4|4|-778516.46|-882232.78|-244881.45|-127625.02|-640308.55|-453338.34|746244.02|477418.27|500127.50|-624166.76|55|344871.54|8|8|0|
604775005|4|3|126586.35|773437.26|214581.27|673851.03|667623.75|226713.77|502734.64|512351.50|-515771.53|-141850.87|62|606660.44|1|0|2|
780227700|2|3|-483526.77|-038844.77|745631.55|845128.56|170438.46|-287560.54|211555.54|-820353.62|-650146.84|403761.87|40|-410773.05|1|5|3|
512823407|6|2|117208.87|-342401.51|357260.88|467373.15|747167.08|144215.32|-335232.71|048521.10|716145.03|602460.03|87|-812057.21|0|4|7|
504628530|4|2|378701.44|878363.04|557724.33|717308.37|846607.24|353611.00|683384.55|762754.16|832051.04|258665.65|55|215324.53|3|5|7|
822211134|5|4|-521301.85|656353.64|-544207.02|-236542.53|371408.14|025786.80|-605640.05|022770.20|-052361.54|-536685.64|55|-534387.16|4|5|2|
357555520|7|7|628234.66|286261.38|-234121.03|527836.47|564487.47|-856575.76|346608.75|317417.87|338478.65|-158765.62|52|-541475.76|1|5|7|
513225853|1|4|210082.43|-803663.06|043834.15|634212.14|-205720.47|541476.78|-857670.11|718672.70|606500.76|462835.15|01|110008.60|7|5|8|
805203413|1|7|-836316.68|-414458.32|835175.24|-563618.81|067652.50|-768213.77|-316333.15|310251.24|174274.35|402860.68|63|387652.21|5|4|5|
433627162|0|8|360145.33|878522.71|-675628.55|-732500.00|273450.77|861268.22|442884.66|873608.14|181560.02|482842.50|26|-717221.08|8|8|3|
724342536|6|8|-656830.35|-467810.45|331541.81|-083064.57|-802087.65|485828.30|-367565.41|-305142.11|751586.58|-048136.62|30|-010624.40|8|6|2|
240386467|8|7|846768.52|-236683.07|-846320.50|-711741.66|001338.58|-135524.44|160275.77|541828.28|408066.56|142861.68|32|-612325.33|3|1|8|
370241786|4|3|-642464.56|241280.86|-178635.74|-437884.56|-646623.73|-000260.14|568206.61|766602.65|-511310.32|520510.64|58|638383.67|5|4|8|
503318573|5|8|-477226.33|-404337.35|-423178.18|-140765.60|-336441.07|-311243.44|-157055.11|-774208.62|-113443.04|888083.76|13|-777400.45|2|8|2|
135478063|4|3|424444.03|476647.87|104366.56|-622534.72|033527.81|-028303.13|574802.37|083877.58|-422223.80|137240.37|82|-677306.16|0|3|7|
868418722|2|3|-617177.66|-607467.24|057012.34|382848.15|824257.53|517214.65|343310.03|-454872.71|555486.67|-717158.03|88|262885.64|5|8|7|
374775773|1|0|426702.13|-814423.86|-367011.80|453527.60|310752.04|854832.57|234740.51|-383021.70|418227.63|284724.20|73|713471.66|2|8|6|
613106181|1|0|-158812.81|721502.38|-876278.68|-316137.04|-612125.47|046602.46|-204155.36|-600186.54|-341662.22|284405.42|42|-678320.00|5|1|1|
857337471|3|7|-611677.27|264485.77|-088736.28|-756258.85|846847.10|434155.53|238666.37|338006.44|-272871.51|-410383.85|02|-151813.62|5|8|1|
321052465|5|2|863871.73|171616.34|-251226.00|331716.25|260452.67|408328.84|-307633.26|214361.05|-786162.41|-035218.65|06|666883.43|0|5|2|
840107883|6|0|-750626.20|-402374.73|-076631.15|501406.46|-246468.48|-827211.30|244154.66|-734348.85|-537488.64|-224658.84|37|-048508.83|2|6|4|
446838062|7|6|-434866.53|802314.16|-740812.26|462515.25|745513.20|-204748.73|-665673.58|-456372.45|-201187.03|334823.76|00|026837.52|3|6|5|
031635000|1|5|451016.73|608611.72|408306.81|-023551.33|685348.60|-446568.45|-617177.53|-835183.15|688074.67|368685.58|40|-677481.80|0|5|0|
703110421|0|4|-760118.03|-367620.82|457362.23|183421.40|642268.80|225235.57|118060.35|-474011.50|112372.41|-227810.64|40|-358846.63|8|7|5|
782084470|1|5|428751.78|-704276.18|445785.44|176488.25|336820.41|-154604.74|-328300.83|173275.35|154404.56|346066.66|86|232816.73|5|4|8|
428416204|6|6|-262537.16|188531.31|167484.32|226003.84|-116602.18|673588.47|-883002.30|-207477.66|-332166.53|666760.55|10|768816.67|0|6|6|
123171616|0|1|304606.36|453212.54|-335500.77|-561166.06|-553052.10|-230323.34|-450407.12|-254588.16|882774.45|746802.63|46|-467654.33|3|0|8|
773142777|5|3|-234770.27|-883404.53|-034382.22|-455435.08|863212.64|174152.70|-228074.60|033480.51|-082647.43|-441206.78|24|-320467.63|5|6|4|
611858212|8|6|007326.48|-406478.37|141702.31|-852665.85|022846.68|-072364.41|-203102.41|-201460.84|-625300.03|014251.11|07|416237.42|3|3|3|
527276284|5|7|-784145.14|840208.40|-853375.88|-788035.83|-475041.73|106644.00|703372.27|-403815.46|-347787.31|-470156.56|84|827768.86|3|5|5|
648101772|8|8|-527405.57|266755.11|842167.28|333812.64|472753.04|726252.03|-113443.25|-712673.13|244526.31|-842481.84|26|-714516.48|0|0|3|
423423008|6|6|-463053.13|380320.27|-428305.32|663715.24|-243556.01|-354843.78|-405484.57|-131317.58|051284.68|001650.51|52|-684208.61|2|7|3|
117710820|6|0|-656574.60|-763484.86|272886.56|628034.43|-682245.15|054784.33|-560318.67|763832.44|-842517.80|736063.73|21|355304.14|0|8|1|
810280512|3|7|464413.36|-822282.31|-808361.46|-831656.06|-807427.65|756774.00|101015.61|460875.15|-541474.37|-280172.16|04|835125.32|2|6|3|
802540428|3|6|526054.37|-301464.70|-634508.72|144327.72|-178352.80|010567.71|217230.14|-787760.23|456241.13|-760237.00|65|816730.86|5|4|0|
541112736|6|5|872303.64|-205586.77|721317.41|-528787.37|-063516.22|-687123.74|-776860.14|186026.43|-374036.41|170246.40|68|-625133.00|1|7|8|
137108223|8|7|235404.65|860233.34|-048788.62|-370246.20|-472875.34|-018250.55|414161.73|262044.27|434737.70|422005.06|55|838562.38|1|0|0|
057013081|7|5|710427.58|-647104.78|-251214.04|883678.64|-656033.52|256514.11|026284.15|121423.26|-401607.24|777253.50|74|-754232.55|1|5|2|
631402707|5|0|-380564.16|784111.46|565666.66|141360.06|-784366.05|771588.41|-633547.55|-376838.48|-162667.04|-164375.18|47|-518856.73|2|2|2|
577153617|8|6|-343203.84|025525.07|-757463.77|-220372.85|267453.21|-864658.04|-746831.40|-612740.70|-365664.71|-380802.63|87|432175.20|0|1|7|
640817168|2|1|766825.40|747121.88|-471565.76|-674146.70|-366236.64|-651323.16|-123504.41|875380.75|885384.55|-074277.21|66|-317785.56|1|0|1|
316277651|3|7|-155771.06|-076630.81|-804754.10|-213362.22|605736.46|-351111.44|-006132.08|-324846.04|566654.51|755282.02|87|-777883.67|7|5|5|
522026512|1|4|246308.02|-431312.33|-710307.32|127161.74|-840143.67|460822.28|025067.77|788143.37|-102588.02|-350761.50|65|626844.10|0|3|4|
030572711|5|8|701258.55|138435.32|571042.53|887486.47|526803.07|-061102.33|-130575.42|414368.15|-654772.74|576262.12|08|-687141.32|5|8|2|
062484331|1|6|005175.76|-536443.36|132117.15|512527.51|100731.86|-616337.08|470787.84|-643380.73|-185570.58|-670084.41|60|047465.37|0|2|0|
880118764|0|6|725877.56|-280216.66|100130.15|406635.46|-476618.35|-327856.08|-287751.15|-272050.27|-331801.65|042445.88|88|138370.83|0|4|3|
612012842|4|2|-348872.88|760761.08|721274.20|461234.48|-783102.88|183035.03|413804.66|053212.11|-063224.65|017224.80|54|345485.54|1|2|3|
880041373|4|0|345173.52|-532405.64|617755.34|225002.46|-414412.46|-766321.00|-860838.40|151144.31|-683786.76|-443832.07|66|-474508.30|7|8|2|
162627764|3|8|-016167.02|-306713.31|-262878.26|715264.07|-117772.16|131406.45|-858767.57|-171328.07|530863.20|187480.84|83|-756253.21|8|8|5|
818736314|0|0|487417.34|714101.88|-214446.35|-151884.20|-118178.60|-327141.43|645662.53|563261.27|081820.73|-161411.15|50|-234117.06|0|6|5|
754777214|6|3|-248863.40|453304.10|345134.24|203828.20|611132.35|-467172.08|-064725.73|-420623.77|362676.41|585650.52|43|448015.70|4|1|0|
624358274|5|8|-138367.56|685344.13|-423416.76|-277431.73|-387154.33|123702.38|-260733.31|530031.35|333567.30|351648.75|84|-231038.20|6|7|6|
683323477|4|1|-663301.66|318080.28|-381162.13|-787052.15|703103.53|411743.45|402845.31|-866386.16|744646.01|618534.21|27|253804.35|6|3|5|
511030251|3|3|548177.12|572734.22|-648212.83|-335410.30|-368325.43|-761653.40|-856661.62|-172600.74|-788543.01|226030.14|26|-321168.00|6|8|7|
555126411|4|8|-130222.05|-513561.84|210312.84|236812.02|745375.20|666865.66|-157075.30|-543646.12|-523545.41|586288.83|38|-271080.75|4|1|0|
408326108|6|1|836528.48|326600.64|-548446.46|636533.56|-366321.47|-351154.83|-304861.30|-470654.63|246128.36|751408.47|68|183716.78|2|2|4|
470346480|7|5|637132.57|-702704.87|-558715.35|544888.21|-441115.78|-768868.01|-453357.30|-880040.85|525615.34|550213.36|56|-261668.48|7|4|1|
065686373|2|5|-745471.05|806382.30|-602771.10|-334872.88|588866.81|-683080.12|304633.18|363367.21|-871517.07|732423.14|42|-472127.80|2|2|8|
370373126|0|2|807611.65|-752684.03|-075012.70|415565.71|-406028.32|007320.45|-142477.03|186573.83|-064745.86|752873.76|10|081555.66|4|8|4|
037155152|7|6|-773576.17|644063.42|-763172.72|-477543.37|876575.57|226370.06|876725.22|-868574.76|403417.02|-412240.70|21|455843.44|8|3|5|
